"company_name","phone_number","location"
"Sky Fitness Jaipur","095880 37686","Maharani Garden Road, Mansarover, Rajat Path, Jaipur, Rajasthan 302020"
"Ooh yes fitness | Gym in Mansarovar Jaipur","096642 69989","RIICO Kanta, Plot nu. 4, near Shani dev mandir, Aayakar Nagar, Kalyanpura, Mansarovar, Jaipur, Rajasthan 302029"
"Tone Fitness Club","094142 79142","86/SP/96, Ajay Marg, above RELIANCE SMART POINT, Kumbha Marg, Sector 8, Sector 6, Pratap Nagar, Jaipur, Rajasthan 302033"
"Chiccem Medical, jaipur","N/A","S-39, Tonk Rd, behind jaipur Hospital, Mahavir Nagar, Mahaveer Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302018"
"SHAPE & FITNESS GYM","098750 93528","68, Sudama Nagar, Dev Nagar, Tonk Phatak, Jaipur, Rajasthan 302018"
"HM FITNESS GYM - best gym in pratap nagar Jaipur","075979 78719","COACHING HUB, 101A, Prabhu Dayal Marg, opp. PRATAP NAGAR, Pashupati Nath Nagar, Sheopur, SANGANER, Jaipur, Rajasthan 302029"
"Ryan's Gym & Fitness Club","099281 22572","22 B-2, Haldighati Marg E, near NRI Colony, Pratap Nagar, Jaipur, Rajasthan 302015"
"Macbun Yoga and Wellness LLP","094141 00233","OKAY PLUS SPACES, 426, F-45, Malviya Nagar Industrial Area, Rajasthan 302017"
"D FITNESS GYM","N/A","305, Tulsi Nagar, Sanganer, Maruti Nagar, Jaipur, Rajasthan 302029"
"V3 Fitness Gym & Spa","N/A","60/1, Sheopur Rd, near central Bank, Pratap Nagar, Sanganer, Pratap Nagar, Jaipur, Rajasthan 302029"
"Antimatter Fitness Studio","083062 22914","Dholai Circle, Towards Vande Matram Circle, Main 200ft. Road, near Mahima Elanza, Patrakar Colony, Mansarovar, Jaipur, Rajasthan 302020"
"The Raw Muscle Gym | Best Gym in Jaipur | Top Fitness Center in Jaipur","070144 76292","Plot no 259, Gali No. 4, Raja Park, Jaipur, Rajasthan 302004"
